KupacID,Pol,Godine,Kupljeni Artikli,Kategorija,Iznos Kupovine,Tip Dostave,Zanimanje,Pretplata,Sezona,Opština
1,Muško,20,Farmerke,Spoljašnja odjeća,14,Dvodnevna dostava,Dizajner,Ne,Ljeto,Široki Brijeg
2,Muško,33,Šorc,Obuća,81,Dvodnevna dostava,Dizajner,Da,Jesen,Sanski Most
3,Muško,64,Naočale,Dodaci,11,Sledeći dan,,Da,Zima,Prijedor
4,Žensko,61,Majica,Spoljašnja odjeća,31,Ekspres,Marketing,Da,Jesen,Živinice
5,Žensko,40,Majica,Spoljašnja odjeća,60,Dvodnevna dostava,Inženjer,Ne,Jesen,Tuzla
6,Muško,39,Farmerke,Dodaci,96,Dvodnevna dostava,Pravnik,Ne,Zima,Široki Brijeg
7,Muško,47,Šal,Dodaci,78,Sledeći dan,Umjetnik,Da,Proljeće,Sanski Most
8,Muško,32,Naočale,Obuća,27,Dvodnevna dostava,Upravitelj,Ne,,Bihać
9,Muško,48,Farmerke,Odjeća,39,Besplatna dostava,Umjetnik,Ne,Proljeće,Sanski Most
10,Žensko,41,Šorc,Odjeća,48,Sledeći dan,Marketing,Ne,,Tuzla
11,Muško,64,Šal,Spoljašnja odjeća,70,Sledeći dan,Umjetnik,Da,Zima,Laktaši
12,Žensko,43,Torba,Odjeća,10,Sledeći dan,Marketing,Ne,,Gradiška
13,Žensko,19,Naočale,Obuća,70,Besplatna dostava,Marketing,Ne,Jesen,Mostar
14,Muško,60,Haljina,Obuća,67,Ekspres,Zdravstvo,Da,Proljeće,Zenica
15,Žensko,41,Naočale,Obuća,16,Dvodnevna dostava,Nastavnik,Da,Proljeće,Tuzla
16,Žensko,42,Haljina,Dodaci,56,Ekspres,Tehničar,Da,Proljeće,Prijedor
17,Muško,44,Šorc,Obuća,51,Dvodnevna dostava,Pravnik,Ne,Jesen,Živinice
18,Žensko,56,Patike,Odjeća,86,Dvodnevna dostava,Nastavnik,Ne,Proljeće,Gradiška
19,Muško,59,Majica,Obuća,50,Ekspres,Dizajner,Ne,Proljeće,Bijeljina
20,Žensko,39,Haljina,Spoljašnja odjeća,41,Sledeći dan,Nastavnik,Da,Zima,Bijeljina
21,Žensko,59,Torba,Obuća,88,Sledeći dan,Marketing,Da,Zima,Gradiška
22,Žensko,38,Cipele,Dodaci,19,Ekspres,Izvršni direktor,Ne,,Gradiška
23,Žensko,59,Torba,Odjeća,16,Besplatna dostava,Dizajner,Ne,Proljeće,Tuzla
24,Žensko,50,Šal,Spoljašnja odjeća,12,Besplatna dostava,Tehničar,Ne,Zima,Bihać
25,Žensko,60,Naočale,Spoljašnja odjeća,22,Ekspres,Nastavnik,Da,,Sarajevo
26,Žensko,57,Majica,Dodaci,62,Dvodnevna dostava,Pravnik,Ne,Zima,Živinice
27,Muško,47,Šorc,Obuća,62,Besplatna dostava,Doktor,Da,Ljeto,Bihać
28,Muško,45,Naočale,Spoljašnja odjeća,81,Ekspres,Ekonomista,Ne,Ljeto,Prijedor
29,Žensko,48,Haljina,Spoljašnja odjeća,32,Sledeći dan,Tehničar,Ne,Proljeće,Bihać
30,Muško,43,Farmerke,Dodaci,63,Sledeći dan,Pravnik,Ne,Ljeto,Tuzla
31,Muško,60,Kaiš,Spoljašnja odjeća,84,Sledeći dan,Student,Da,Ljeto,Zenica
32,Žensko,43,Šal,Obuća,98,Besplatna dostava,Izvršni direktor,Ne,Ljeto,Mostar
33,Muško,52,Naočale,Obuća,94,Sledeći dan,Student,Ne,,Gradiška
34,Muško,33,Patike,Odjeća,33,Besplatna dostava,Ekonomista,Ne,Ljeto,Široki Brijeg
35,Muško,30,Haljina,Spoljašnja odjeća,84,Besplatna dostava,Umjetnik,Da,,Laktaši
36,Muško,65,Majica,Obuća,11,Besplatna dostava,Student,Ne,Ljeto,Sanski Most
37,Muško,56,Šal,Spoljašnja odjeća,39,Ekspres,Nastavnik,Da,Zima,Sanski Most
38,Žensko,25,Šorc,Obuća,58,Sledeći dan,Pravnik,Da,Proljeće,Živinice
39,Žensko,53,Šorc,Obuća,99,Ekspres,Student,Da,,Tuzla
40,Muško,50,Cipele,Dodaci,69,Ekspres,Zdravstvo,Ne,Jesen,Mostar
41,Muško,46,Haljina,Obuća,10,Besplatna dostava,Umjetnik,Ne,,Živinice
42,Muško,30,Kaput,Dodaci,83,Ekspres,Zdravstvo,Ne,Ljeto,Sanski Most
43,Žensko,22,Kaiš,Spoljašnja odjeća,23,Dvodnevna dostava,Dizajner,Ne,Proljeće,Bijeljina
44,Žensko,23,Kaiš,Obuća,79,Besplatna dostava,Tehničar,Ne,Proljeće,Bihać
45,Žensko,28,Cipele,Odjeća,21,Sledeći dan,Ekonomista,Da,,Gradiška
46,Muško,34,Naočale,Obuća,57,Dvodnevna dostava,Zdravstvo,Ne,Proljeće,Prijedor
47,Muško,44,Šorc,Obuća,33,Ekspres,Marketing,Da,Zima,Laktaši
48,Muško,43,Haljina,Odjeća,54,Dvodnevna dostava,Nastavnik,Ne,Proljeće,Živinice
49,Žensko,56,Patike,Dodaci,72,Ekspres,Nastavnik,Da,Proljeće,Bijeljina
50,Muško,24,Kaiš,Obuća,61,Sledeći dan,Doktor,Da,,Mostar
51,Muško,64,Cipele,Odjeća,77,Besplatna dostava,Doktor,Da,Jesen,Bihać
52,Muško,62,Naočale,Obuća,67,Sledeći dan,Marketing,Da,Proljeće,Sarajevo
53,Muško,47,Cipele,Dodaci,76,Ekspres,Student,Da,,Bijeljina
54,Žensko,42,Patike,Obuća,86,Ekspres,Student,Da,Zima,Bijeljina
55,Žensko,57,Kaput,Obuća,40,Sledeći dan,Zdravstvo,Ne,Zima,Laktaši
56,Muško,22,Patike,Dodaci,38,Ekspres,Tehničar,Ne,Jesen,Tuzla
57,Muško,19,Torba,Spoljašnja odjeća,68,Dvodnevna dostava,Doktor,Ne,Zima,Prijedor
58,Žensko,30,Patike,Dodaci,22,Besplatna dostava,Pravnik,Da,Zima,Živinice
59,Žensko,52,Šorc,Obuća,65,Sledeći dan,Tehničar,Ne,Ljeto,Bijeljina
60,Žensko,24,Patike,Spoljašnja odjeća,78,Besplatna dostava,Ekonomista,Ne,Jesen,Mostar
61,Žensko,58,Kaiš,Spoljašnja odjeća,35,Besplatna dostava,Dizajner,Da,Jesen,Široki Brijeg
62,Žensko,52,Farmerke,Obuća,40,Besplatna dostava,Zdravstvo,Ne,Zima,Široki Brijeg
63,Muško,30,Kaiš,Obuća,99,Dvodnevna dostava,Student,Ne,Ljeto,Bihać
64,Muško,35,Naočale,Dodaci,32,Sledeći dan,Upravitelj,Da,Jesen,Laktaši
65,Žensko,41,Kaiš,Obuća,46,Besplatna dostava,Doktor,Ne,Zima,Laktaši
66,Muško,19,Patike,Spoljašnja odjeća,48,Ekspres,Ekonomista,Da,,Široki Brijeg
67,Muško,34,Majica,Odjeća,73,Dvodnevna dostava,,Ne,Ljeto,Tuzla
68,Muško,46,Farmerke,Spoljašnja odjeća,76,Dvodnevna dostava,,Ne,Zima,Bihać
69,Muško,34,Kaiš,Spoljašnja odjeća,28,Ekspres,Inženjer,Ne,Jesen,Sarajevo
70,Muško,48,Cipele,Dodaci,10,Ekspres,Doktor,Da,Ljeto,Laktaši
71,Žensko,21,Haljina,Obuća,56,Ekspres,,Da,Ljeto,Laktaši
72,Muško,28,Naočale,Obuća,33,Sledeći dan,Nastavnik,Ne,Zima,Bijeljina
73,Žensko,31,Majica,Dodaci,50,Sledeći dan,,Ne,Ljeto,Prijedor
74,Muško,36,Majica,Spoljašnja odjeća,64,Sledeći dan,Nastavnik,Ne,Zima,Sarajevo
75,Muško,49,Šal,Odjeća,29,Besplatna dostava,Umjetnik,Ne,,Sanski Most
76,Žensko,22,Haljina,Dodaci,70,Sledeći dan,Pravnik,Ne,Jesen,Sanski Most
77,Žensko,18,Cipele,Dodaci,96,Sledeći dan,Nastavnik,Ne,Zima,Živinice
78,Žensko,32,Šorc,Odjeća,43,Sledeći dan,Umjetnik,Da,Proljeće,Banja Luka
79,Muško,42,Naočale,Dodaci,65,Sledeći dan,Zdravstvo,Ne,,Živinice
80,Žensko,19,Farmerke,Spoljašnja odjeća,11,Ekspres,Student,Da,,Gradiška
81,Muško,48,Cipele,Obuća,81,Besplatna dostava,Upravitelj,Da,Jesen,Bijeljina
